Date,AAPL,BTC-USD,GLD,TSLA
2025-12-08,277.3746643066406,90640.203125,385.4200134277344,439.5799865722656
2025-12-09,276.6659851074219,92691.7109375,387.3999938964844,445.1700134277344
2025-12-10,278.26300048828125,92020.9453125,389.04998779296875,451.45001220703125
2025-12-11,277.514404296875,92511.3359375,393.239990234375,446.8900146484375
2025-12-12,277.763916015625,90270.4140625,395.44000244140625,458.9599914550781
2025-12-13,,90298.7109375,,
2025-12-14,,88175.1796875,,
2025-12-15,273.6016540527344,86419.78125,395.79998779296875,475.30999755859375
2025-12-16,274.1007385253906,87843.984375,395.8900146484375,489.8800048828125
2025-12-17,271.33587646484375,86143.7578125,399.2900085449219,467.260009765625
2025-12-18,271.68524169921875,85462.5078125,398.57000732421875,483.3699951171875
2025-12-19,273.1625061035156,88103.3828125,399.0199890136719,481.20001220703125
2025-12-20,,88344.0,,
2025-12-21,,88621.75,,
2025-12-22,270.4674987792969,88490.015625,408.2300109863281,488.7300109863281
2025-12-23,271.85491943359375,87414.0,413.6400146484375,485.55999755859375
2025-12-24,273.3022155761719,87611.9609375,411.92999267578125,485.3999938964844
2025-12-25,,87234.7421875,,
2025-12-26,272.89300537109375,87301.4296875,416.739990234375,475.19000244140625
2025-12-27,,87802.15625,,
2025-12-28,,87835.8359375,,
2025-12-29,273.2523498535156,87138.140625,398.6000061035156,459.6400146484375
2025-12-30,272.57354736328125,88430.1328125,398.8900146484375,454.42999267578125 
